Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2016,27.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2017,14.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2018,19.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2019,9.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2020,11.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2021,22.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2022,8.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2023,12.0,32.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2024,,24.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2015,,245.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2016,,232.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2017,,310.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2018,,276.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2019,,300.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2020,,287.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2021,,295.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2022,12.0,278.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2023,18.0,271.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers",2024,,162.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2015,152.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Randers (e-læring)",2016,137.0,,,
